SUBDIVISION,YEAR,VALUE
SIKKIM,1997,2551.4
SIKKIM,1998,3655.1
SIKKIM,1999,3323.3
SIKKIM,2000,2908
SIKKIM,2001,2612.6
SIKKIM,2002,2547
SIKKIM,2003,2723.3
SIKKIM,2004,2714.7
SIKKIM,2005,2807.7
SIKKIM,2006,2262.1
SIKKIM,2007,2638.9
SIKKIM,2008,2689.9
SIKKIM,2009,2324.6
SIKKIM,2010,2612.3
SIKKIM,2011,2418.7
SIKKIM,2012,2632.2
SIKKIM,2013,2406.1
SIKKIM,2014,2322.6
SIKKIM,2015,2518.6
WEST BENGAL,1994,1530.8
WEST BENGAL,1995,1936
WEST BENGAL,1996,1504
WEST BENGAL,1997,1657.7
WEST BENGAL,1998,1632.7
WEST BENGAL,1999,1957
WEST BENGAL,2000,1572.1
WEST BENGAL,2001,1540.6
WEST BENGAL,2002,1613.3
WEST BENGAL,2003,1496.7
WEST BENGAL,2004,1569.4
WEST BENGAL,2005,1604.9
WEST BENGAL,2006,1660.5
WEST BENGAL,2007,1941.4
WEST BENGAL,2008,1555.2
WEST BENGAL,2009,1315
WEST BENGAL,2010,1064.8
WEST BENGAL,2011,1686.5
WEST BENGAL,2012,1268
WEST BENGAL,2013,1764.1
WEST BENGAL,2014,1261.4
WEST BENGAL,2015,1530.3
ORISSA,1994,1744.6
ORISSA,1995,1614
ORISSA,1996,1061.8
ORISSA,1997,1504.5
ORISSA,1998,1357.1
ORISSA,1999,1484.3
ORISSA,2000,1097.2
ORISSA,2001,1672.5
ORISSA,2002,1102.8
ORISSA,2003,1648.2
ORISSA,2004,1290.4
ORISSA,2005,1503.4
ORISSA,2006,1716.9
ORISSA,2007,1633.8
ORISSA,2008,1538.9
ORISSA,2009,1330.3
ORISSA,2010,1291.9
ORISSA,2011,1346.2
ORISSA,2012,1405.9
ORISSA,2013,1632.4
ORISSA,2014,1536.9
ORISSA,2015,1210.1
JHARKHAND,1994,1579.4
JHARKHAND,1995,1366.5
JHARKHAND,1996,1191.7
JHARKHAND,1997,1461.3
JHARKHAND,1998,1353.8
JHARKHAND,1999,1586.9
JHARKHAND,2000,1191.5
JHARKHAND,2001,1254.4
JHARKHAND,2002,1034.9
JHARKHAND,2003,1245
JHARKHAND,2004,1136.6
JHARKHAND,2005,960.4
JHARKHAND,2006,1459.5
JHARKHAND,2007,1437.3
JHARKHAND,2008,1325.3
JHARKHAND,2009,996.1
JHARKHAND,2010,697.1
JHARKHAND,2011,1374.7
JHARKHAND,2012,1065
JHARKHAND,2013,1253.6
JHARKHAND,2014,1156.6
JHARKHAND,2015,1081.8
BIHAR,1994,969.4
BIHAR,1995,1111.9
BIHAR,1996,1107.2
BIHAR,1997,1303.7
BIHAR,1998,1332.5
BIHAR,1999,1402.7
BIHAR,2000,1207
BIHAR,2001,1247
BIHAR,2002,1105.8
BIHAR,2003,1353.9
BIHAR,2004,1147.8
BIHAR,2005,907.8
BIHAR,2006,1052.8
BIHAR,2007,1600.2
BIHAR,2008,1197.7
BIHAR,2009,889.3
BIHAR,2010,629.2
BIHAR,2011,1097.1
BIHAR,2012,1032.4
BIHAR,2013,1069.9
BIHAR,2014,1061
BIHAR,2015,872.7
UTTAR PRADESH,1994,910.2
UTTAR PRADESH,1995,860.5
UTTAR PRADESH,1996,1010.3
UTTAR PRADESH,1997,493.3
UTTAR PRADESH,1998,661
UTTAR PRADESH,1999,952.8
UTTAR PRADESH,2000,946.8
UTTAR PRADESH,2001,973.8
UTTAR PRADESH,2002,689.1
UTTAR PRADESH,2003,1096.4
UTTAR PRADESH,2004,746.9
UTTAR PRADESH,2005,770.3
UTTAR PRADESH,2006,632.1
UTTAR PRADESH,2007,741.2
UTTAR PRADESH,2008,953.4
UTTAR PRADESH,2009,610.2
UTTAR PRADESH,2010,692.2
UTTAR PRADESH,2011,781.2
UTTAR PRADESH,2012,602.7
UTTAR PRADESH,2013,1041.4
UTTAR PRADESH,2014,701.2
UTTAR PRADESH,2015,603.3
UTTARAKHAND,1994,1441.7
UTTARAKHAND,1995,1616.1
UTTARAKHAND,1996,1401.4
UTTARAKHAND,1997,803.4
UTTARAKHAND,1998,1198.6
UTTARAKHAND,1999,1185.5
UTTARAKHAND,2000,1712.9
UTTARAKHAND,2001,1544.4
UTTARAKHAND,2002,1574.7
UTTARAKHAND,2003,1734.3
UTTARAKHAND,2004,1219.6
UTTARAKHAND,2005,1348.2
UTTARAKHAND,2006,1178.9
UTTARAKHAND,2007,1924.3
UTTARAKHAND,2008,1363.7
UTTARAKHAND,2009,847.8
UTTARAKHAND,2010,1424
UTTARAKHAND,2011,1564.7
UTTARAKHAND,2012,1223.9
UTTARAKHAND,2013,1735.4
UTTARAKHAND,2014,1287.4
UTTARAKHAND,2015,1247.6
HARYANA,1994,564.4
HARYANA,1995,819.1
HARYANA,1996,644.6
HARYANA,1997,668.6
HARYANA,1998,685.3
HARYANA,1999,344.4
HARYANA,2000,384.4
HARYANA,2001,485.5
HARYANA,2002,357.2
HARYANA,2003,597.6
HARYANA,2004,487.3
HARYANA,2005,519.5
HARYANA,2006,330.9
HARYANA,2007,446.6
HARYANA,2008,710.4
HARYANA,2009,395.4
HARYANA,2010,640.5
HARYANA,2011,512
HARYANA,2012,391.4
HARYANA,2013,461.2
HARYANA,2014,305.5
HARYANA,2015,435.3
PUNJAB,1994,580.9
PUNJAB,1995,869.1
PUNJAB,1996,589.7
PUNJAB,1997,690.1
PUNJAB,1998,588.6
PUNJAB,1999,364.4
PUNJAB,2000,405.3
PUNJAB,2001,441
PUNJAB,2002,274.7
PUNJAB,2003,424.6
PUNJAB,2004,351.7
PUNJAB,2005,552
PUNJAB,2006,647.7
PUNJAB,2007,594.8
PUNJAB,2008,717.1
PUNJAB,2009,361.2
PUNJAB,2010,451.5
PUNJAB,2011,705.2
PUNJAB,2012,493.6
PUNJAB,2013,586.6
PUNJAB,2014,382.7
PUNJAB,2015,510.8
HIMACHAL PRADESH,1994,1410.2
HIMACHAL PRADESH,1995,1493.9
HIMACHAL PRADESH,1996,1384.4
HIMACHAL PRADESH,1997,1454.5
HIMACHAL PRADESH,1998,1381.6
HIMACHAL PRADESH,1999,1144.9
HIMACHAL PRADESH,2000,1068.4
HIMACHAL PRADESH,2001,991.8
HIMACHAL PRADESH,2002,990.4
HIMACHAL PRADESH,2003,1034.5
HIMACHAL PRADESH,2004,878.5
HIMACHAL PRADESH,2005,1248.5
HIMACHAL PRADESH,2006,1218.4
HIMACHAL PRADESH,2007,1034.5
HIMACHAL PRADESH,2008,1114.2
HIMACHAL PRADESH,2009,956.5
HIMACHAL PRADESH,2010,1259.4
HIMACHAL PRADESH,2011,1108.3
HIMACHAL PRADESH,2012,951.6
HIMACHAL PRADESH,2013,1211.9
HIMACHAL PRADESH,2014,1008.7
HIMACHAL PRADESH,2015,1210.5
JAMMU & KASHMIR,1994,1732.5
JAMMU & KASHMIR,1995,1619.6
JAMMU & KASHMIR,1996,1620.4
JAMMU & KASHMIR,1997,1295.9
JAMMU & KASHMIR,1998,1325.9
JAMMU & KASHMIR,1999,890.3
JAMMU & KASHMIR,2000,984.6
JAMMU & KASHMIR,2001,952.7
JAMMU & KASHMIR,2002,903.5
JAMMU & KASHMIR,2003,1311.1
JAMMU & KASHMIR,2004,944.9
JAMMU & KASHMIR,2005,1692.7
JAMMU & KASHMIR,2006,1519.8
JAMMU & KASHMIR,2007,1023.5
JAMMU & KASHMIR,2008,1224.5
JAMMU & KASHMIR,2009,NA
JAMMU & KASHMIR,2010,997.9
JAMMU & KASHMIR,2011,887.6
JAMMU & KASHMIR,2012,1034.7
JAMMU & KASHMIR,2013,859.3
JAMMU & KASHMIR,2014,1093.4
JAMMU & KASHMIR,2015,1572.8
RAJASTHAN,1994,415.5
RAJASTHAN,1995,367.9
RAJASTHAN,1996,307.9
RAJASTHAN,1997,345.1
RAJASTHAN,1998,279.6
RAJASTHAN,1999,204.3
RAJASTHAN,2000,235.3
RAJASTHAN,2001,285.3
RAJASTHAN,2002,92.4
RAJASTHAN,2003,368.1
RAJASTHAN,2004,196.7
RAJASTHAN,2005,260.8
RAJASTHAN,2006,361.3
RAJASTHAN,2007,310.8
RAJASTHAN,2008,324.1
RAJASTHAN,2009,160.4
RAJASTHAN,2010,473.2
RAJASTHAN,2011,418.7
RAJASTHAN,2012,327.3
RAJASTHAN,2013,389.4
RAJASTHAN,2014,302.4
RAJASTHAN,2015,458.4
MADHYA PRADESH,1994,1179.5
MADHYA PRADESH,1995,864.7
MADHYA PRADESH,1996,1085.4
MADHYA PRADESH,1997,1058.3
MADHYA PRADESH,1998,926.9
MADHYA PRADESH,1999,1052.7
MADHYA PRADESH,2000,NA
MADHYA PRADESH,2001,787
MADHYA PRADESH,2002,684.1
MADHYA PRADESH,2003,946.4
MADHYA PRADESH,2004,848.1
MADHYA PRADESH,2005,752.2
MADHYA PRADESH,2006,1169.2
MADHYA PRADESH,2007,806.5
MADHYA PRADESH,2008,791.1
MADHYA PRADESH,2009,877
MADHYA PRADESH,2010,776.3
MADHYA PRADESH,2011,1063.9
MADHYA PRADESH,2012,1035.2
MADHYA PRADESH,2013,1396.3
MADHYA PRADESH,2014,864.9
MADHYA PRADESH,2015,1042.3
GUJARAT,1994,1534.5
GUJARAT,1995,684.3
GUJARAT,1996,902.8
GUJARAT,1997,1068.9
GUJARAT,1998,1070
GUJARAT,1999,568.4
GUJARAT,2000,550.6
GUJARAT,2001,849
GUJARAT,2002,637.2
GUJARAT,2003,1160.3
GUJARAT,2004,1005.8
GUJARAT,2005,1316.4
GUJARAT,2006,1478
GUJARAT,2007,1178.9
GUJARAT,2008,911.1
GUJARAT,2009,641.6
GUJARAT,2010,1088.7
GUJARAT,2011,890.5
GUJARAT,2012,714
GUJARAT,2013,1118.6
GUJARAT,2014,705.7
GUJARAT,2015,622.9
GOA,1994,3179.8
GOA,1995,2766
GOA,1996,2920.7
GOA,1997,3027.2
GOA,1998,3234.7
GOA,1999,2912.1
GOA,2000,3133.2
GOA,2001,2395.4
GOA,2002,2537.2
GOA,2003,2842.3
GOA,2004,2985.9
GOA,2005,3615.7
GOA,2006,3482.2
GOA,2007,3468.5
GOA,2008,3053.1
GOA,2009,2716.6
GOA,2010,3778.1
GOA,2011,3825.2
GOA,2012,3018.4
GOA,2013,3524
GOA,2014,2757.5
GOA,2015,2082
MAHARASHTRA,1994,1021.5
MAHARASHTRA,1995,776.4
MAHARASHTRA,1996,975.2
MAHARASHTRA,1997,1000.9
MAHARASHTRA,1998,1101.1
MAHARASHTRA,1999,965.7
MAHARASHTRA,2000,701.6
MAHARASHTRA,2001,785.1
MAHARASHTRA,2002,740.3
MAHARASHTRA,2003,772.6
MAHARASHTRA,2004,1029.5
MAHARASHTRA,2005,1221.3
MAHARASHTRA,2006,1395.7
MAHARASHTRA,2007,1040.4
MAHARASHTRA,2008,916.9
MAHARASHTRA,2009,941.7
MAHARASHTRA,2010,1027.5
MAHARASHTRA,2011,852.6
MAHARASHTRA,2012,689.8
MAHARASHTRA,2013,962.4
MAHARASHTRA,2014,838
MAHARASHTRA,2015,644.5
CHHATTISGARH,1994,1754.5
CHHATTISGARH,1995,1280.7
CHHATTISGARH,1996,1187
CHHATTISGARH,1997,1317.2
CHHATTISGARH,1998,1332.5
CHHATTISGARH,1999,1322.6
CHHATTISGARH,2000,906.3
CHHATTISGARH,2001,1600.1
CHHATTISGARH,2002,990.2
CHHATTISGARH,2003,1694.3
CHHATTISGARH,2004,1144.5
CHHATTISGARH,2005,1287.2
CHHATTISGARH,2006,1317.7
CHHATTISGARH,2007,1281.2
CHHATTISGARH,2008,1108.5
CHHATTISGARH,2009,956.6
CHHATTISGARH,2010,1306.6
CHHATTISGARH,2011,1302.7
CHHATTISGARH,2012,1377.4
CHHATTISGARH,2013,1420
CHHATTISGARH,2014,1278.7
CHHATTISGARH,2015,1117.6
ANDHRA PRADESH,1994,1155.1
ANDHRA PRADESH,1995,1352
ANDHRA PRADESH,1996,1210.9
ANDHRA PRADESH,1997,972.1
ANDHRA PRADESH,1998,1310.8
ANDHRA PRADESH,1999,825.1
ANDHRA PRADESH,2000,992.3
ANDHRA PRADESH,2001,1009.3
ANDHRA PRADESH,2002,703.2
ANDHRA PRADESH,2003,1096.8
ANDHRA PRADESH,2004,873.6
ANDHRA PRADESH,2005,1221.6
ANDHRA PRADESH,2006,1159.6
ANDHRA PRADESH,2007,1099.2
ANDHRA PRADESH,2008,1107.5
ANDHRA PRADESH,2009,790.5
ANDHRA PRADESH,2010,1712.4
ANDHRA PRADESH,2011,861.9
ANDHRA PRADESH,2012,1318.4
ANDHRA PRADESH,2013,1120.5
ANDHRA PRADESH,2014,874.9
ANDHRA PRADESH,2015,1010.9
TELANGANA,1994,975.7
TELANGANA,1995,1286
TELANGANA,1996,986.8
TELANGANA,1997,856
TELANGANA,1998,1093
TELANGANA,1999,863.8
TELANGANA,2000,1078
TELANGANA,2001,922.3
TELANGANA,2002,765.3
TELANGANA,2003,963.2
TELANGANA,2004,667
TELANGANA,2005,1163.1
TELANGANA,2006,1053
TELANGANA,2007,843.3
TELANGANA,2008,1035.3
TELANGANA,2009,666.3
TELANGANA,2010,1276.4
TELANGANA,2011,753.1
TELANGANA,2012,1008.6
TELANGANA,2013,1348.7
TELANGANA,2014,746.4
TELANGANA,2015,857.3
TAMIL NADU,1994,905.9
TAMIL NADU,1995,843.4
TAMIL NADU,1996,1069.4
TAMIL NADU,1997,950.5
TAMIL NADU,1998,1079.7
TAMIL NADU,1999,922.6
TAMIL NADU,2000,972
TAMIL NADU,2001,483.4
TAMIL NADU,2002,318
TAMIL NADU,2003,348.5
TAMIL NADU,2004,1037.6
TAMIL NADU,2005,1365.3
TAMIL NADU,2006,927.9
TAMIL NADU,2007,1067.2
TAMIL NADU,2008,1203.4
TAMIL NADU,2009,928.5
TAMIL NADU,2010,1095.2
TAMIL NADU,2011,926.5
TAMIL NADU,2012,636.1
TAMIL NADU,2013,741.9
TAMIL NADU,2014,913
TAMIL NADU,2015,1204.6
KARNATAKA,1994,4636.3
KARNATAKA,1995,3357.8
KARNATAKA,1996,3188.9
KARNATAKA,1997,3953.6
KARNATAKA,1998,3707.9
KARNATAKA,1999,3779.9
KARNATAKA,2000,3351.3
KARNATAKA,2001,3111.6
KARNATAKA,2002,2793.1
KARNATAKA,2003,3071.9
KARNATAKA,2004,3070
KARNATAKA,2005,3470.9
KARNATAKA,2006,3837.3
KARNATAKA,2007,3860.2
KARNATAKA,2008,3206.4
KARNATAKA,2009,3862
KARNATAKA,2010,3686.8
KARNATAKA,2011,3908.6
KARNATAKA,2012,NA
KARNATAKA,2013,4229.4
KARNATAKA,2014,3684.4
KARNATAKA,2015,3106
KERALA,1994,3410.8
KERALA,1995,2858.8
KERALA,1996,2610
KERALA,1997,3252.4
KERALA,1998,3151.5
KERALA,1999,2914.6
KERALA,2000,2412.6
KERALA,2001,2931.1
KERALA,2002,2507.4
KERALA,2003,2394.9
KERALA,2004,2886.1
KERALA,2005,3031.1
KERALA,2006,3420.6
KERALA,2007,3489.6
KERALA,2008,2524.5
KERALA,2009,2810.6
KERALA,2010,3131.8
KERALA,2011,3035.1
KERALA,2012,2151.1
KERALA,2013,3255.4
KERALA,2014,3046.4
KERALA,2015,2600.6
LAKSHADWEEP,1994,1547.1
LAKSHADWEEP,1995,2030.9
LAKSHADWEEP,1996,1606
LAKSHADWEEP,1997,1764.7
LAKSHADWEEP,1998,1986.9
LAKSHADWEEP,1999,1857.3
LAKSHADWEEP,2000,1372.1
LAKSHADWEEP,2001,1380.6
LAKSHADWEEP,2002,1033.5
LAKSHADWEEP,2003,1532.9
LAKSHADWEEP,2004,1553.2
LAKSHADWEEP,2005,1575.4
LAKSHADWEEP,2006,1598.6
LAKSHADWEEP,2007,2361.6
LAKSHADWEEP,2008,1726.8
LAKSHADWEEP,2009,1570.1
LAKSHADWEEP,2010,1725.2
LAKSHADWEEP,2011,1533.7
LAKSHADWEEP,2012,1405.5
LAKSHADWEEP,2013,1426.3
LAKSHADWEEP,2014,1395
LAKSHADWEEP,2015,1642.9
